****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 362221 ******* 

Variable    Labels
ER48516    AMT WORKMEN COMP OF HEAD                
ER48531    G44C WTR CHILD SUPPORT OF HD            
ER48532    AMT CHILD SUPPORT OF HD                 
ER49494    H1 HEALTH STATUS-HEAD                   
ER50612    H1 HEALTH STATUS-WIFE                   
ER51901    L37 PARENTS POOR OR?--HD                
ER51904    L40 RACE OF HEAD-MENTION 1              
ER52343    TOTAL FAMILY INCOME-2010                
ER52396    CENSUS NEEDS STANDARD-2010              
ER52399    BEALE RURAL-URBAN CODE                  
ER52405    COMPLETED ED-HD                         
ER52409    COUPLE STATUS OF HEAD                   
ER34101    2011 INTERVIEW NUMBER                   
ER34102    SEQUENCE NUMBER                       11
ER34103    RELATION TO HEAD                      11
ER34116    EMPLOYMENT STATUS                     11
ER53001    RELEASE NUMBER                          
ER53002    2013 FAMILY INTERVIEW (ID) NUMBER       
ER53003    PSID STATE OF RESIDENCE CODE            
ER53017    AGE OF HEAD                             
ER53018    SEX OF HEAD                             
ER53020    # CHILDREN IN FU                        
ER53021    AGE YOUNGEST CHILD                      
ER53025    A4 TYPE DU                              
ER53029    A19 OWN/RENT OR WHAT                    
ER53098    A36 IN PUBLIC OWND PROJ?                
ER53721    F15 # FU MEMBERS RECEIVED FOOD STAMPS   
ER54059    G25E WHETHER ADC/TANF INCOME-HEAD       
ER54060    AMOUNT ADC/TANF INCOME-HEAD             
ER54075    G25F WHETHER SSI INCOME-HEAD            
ER54077    AMOUNT SSI INCOME-HEAD                  
ER54092    G25G WTR OTHER WELFARE INCOME-HEAD      
ER54093    AMOUNT OTHER WELFARE INCOME-HEAD        
ER54113    AMOUNT VA PENSION INCOME-HEAD           
ER54128    G40A WTR NONVA RETIREMT-HEAD            
ER54129    AMOUNT NONVA RETIREMENT-HEAD            
ER54144    G40B WTR ANNUITIES INCOME-HEAD          
ER54145    AMOUNT ANNUITIES INCOME-HEAD            
ER54160    G40C WTR OTR PENSION INCOME-HEAD        
ER54161    AMOUNT OTR PENSION INCOME-HEAD          
ER54193    G44A WTR UNEMPLOY COMP-HEAD             
ER54194    AMOUNT UNEMPLOY COMP-HEAD               
